endTime,artistName,trackName,msPlayed
2021-10-10 18:38,James TW,Suitcase,770
2021-10-10 18:38,OneRepublic,If I Lose Myself,580
2021-10-10 18:38,URBOYTJ,วายร้าย,850
2021-10-10 18:38,ETC.,เรื่องธรรมดาเรื่องใหม่ (instrumental),148050
2021-10-10 18:39,Andy Grammer,You Should Know Better,1020
2021-10-10 18:39,Lipta,กอดตัวเอง,950
2021-10-10 18:41,Armchair,วันที่ฉันป่วย,137140
2021-10-10 18:45,Potato,รักเธอไปทุกวัน,272173
2021-10-10 18:50,PORTRAIT,เจ็บจนไม่เข้าใจ,250998
2021-10-10 18:52,Hilary Duff,So Yesterday,760
2021-10-10 18:52,Senorita,Miss Call,710
2021-10-10 18:52,R3HAB,The Wave,640
2021-10-10 18:52,Flume,Never Be Like You,960
2021-10-10 18:52,Spice Girls,2 Become 1,650
2021-10-10 18:52,Bleachers,Rollercoaster,1230
2021-10-10 18:52,Glades,Eyes Wide Shut,940
2021-10-10 18:52,Abhi The Nomad,Floors,160368
2021-10-10 18:52,Oat Pramote,เมื่อวาน,3210
2021-10-10 18:52,The Script,For the First Time,770
2021-10-10 18:52,Wincent Weiss,Nur ein Herzschlag entfernt,540
2021-10-10 18:52,A R I Z O N A,Cross My Mind,630
2021-10-10 18:56,Louis The Child,It's Strange (feat. K.Flay),770
2021-10-10 18:56,The Fray,How to Save a Life,1080
2021-10-10 18:56,Khalid,Love Lies (with Normani),1050
2021-10-10 18:56,Vance Joy,Mess Is Mine,980
2021-10-10 18:56,Raphael Lake,Just Because,830
2021-10-10 18:56,The Script,The Man Who Can't Be Moved,1120
2021-10-10 18:56,Tegan and Sara,Where Does the Good Go,197910
2021-10-10 18:56,James Arthur,Avalanche,1080
2021-10-10 18:56,My Pet Dragon,Moonshine,1030
2021-10-10 18:56,Morgan Evans,I Do,1130
2021-10-10 18:56,Slot Machine,ผ่าน,590
2021-10-10 18:56,Lauv,Question,1080
2021-10-10 18:56,KLEAR,คนในฝัน - เพลงประกอบภาพยนตร์ บางคนแคร์ แคร์บางคน,840
2021-10-10 18:56,Oasis,Don't Look Back in Anger - Remastered,670
2021-10-10 18:56,Whethan,Superlove (feat. Oh Wonder),730
2021-10-10 18:59,Andy Grammer,Lunatic,930
2021-10-10 18:59,Mariah Carey,All I Want for Christmas Is You,1120
2021-10-10 18:59,Avril Lavigne,Everybody Hurts,370
2021-10-10 18:59,Tem Wuttisit,ก็พอ,1090
2021-10-10 18:59,Gwen Stefani,Hollaback Girl,810
2021-10-10 18:59,Camila Cabello,"Million To One - from the Amazon Original Movie ""Cinderella""",990
2021-10-10 18:59,LÉON,Baby Don't Talk,670
2021-10-10 18:59,Avril Lavigne,Nobody's Home,1160
2021-10-10 18:59,Pavement,Gold Soundz,1060
2021-10-10 18:59,Billie Eilish,everything i wanted,1210
2021-10-10 18:59,Tattoo Colour,ขาหมู,640
2021-10-10 18:59,Atomic Kitten,Whole Again,750
2021-10-10 18:59,Blue Shade,ถ้าเธอเหงา,1630
2021-10-10 18:59,R3HAB,Radio Silence,1120
2021-10-10 18:59,Switchfoot,Dare You to Move,1200
2021-10-10 18:59,Silly Fools,ผิดที่ไว้ใจ,185510
2021-10-10 18:59,Loote,85%,1050
2021-10-10 18:59,Bowling Manida,หากเธอจะรัก,2390
2021-10-10 18:59,Carlie Hanson,Bored with You,1400
2021-10-10 18:59,Ton Thanasit,ไม่รู้สึก,880
2021-10-10 18:59,Hum,เพราะมีเธอ,1010
2021-10-10 18:59,Voxenstopp,"Baby, verweile doch...",850
2021-10-10 18:59,Ne-Yo,Because Of You,980
2021-10-10 18:59,O-Pavee,คนที่ไม่ใช่,1310
2021-10-10 18:59,Snow Patrol,Chocolate,1070
2021-10-10 18:59,Quinn XCII,Stacy,800
2021-10-10 19:03,NONT TANONT,เจ็บที่ยังรู้สึก - เพลงประกอบซีรีส์ U-Prince,242954
2021-10-10 19:04,Marc Tatchapon,ที่เก่า,1740
2021-10-10 19:04,Tori Kelly,I Was Made For Loving You,3405
2021-10-10 19:04,ILLENIUM,Beautiful Creatures (feat. MAX),960
2021-10-10 19:04,Johann Hedemann,over getting over you,5590
2021-10-10 19:07,URBOYTJ,กอดได้ไหม,209916
2021-10-10 19:08,Macklemore,Good Old Days (feat. Kesha),850
2021-10-10 19:08,Mario,Let Me Love You,3180
2021-10-10 19:08,Tattoo Colour,เกาะร้าง ห่างรัก,710
2021-10-10 19:08,Lauv,Invisible Things,64183
2021-10-10 19:09,James Bay,Need The Sun To Break,12530
2021-10-10 19:12,Julia Michaels,17,180100
2021-10-10 19:12,Panic! At The Disco,High Hopes,790
2021-10-10 19:12,Machine Gun Kelly,Bad Things (with Camila Cabello),810
2021-10-10 19:16,Jewel,Doin' Fine,1130
2021-10-10 19:16,Russell Dickerson,It's About Time (feat. Florida Georgia Line),1100
2021-10-10 19:16,Blue Shade,อยากเจอ - Reason of Loneliness,279830
2021-10-10 19:16,Christian French,Done from the Start,620
2021-10-10 19:21,Mokita,When I See You (Stripped),1490
2021-10-10 19:21,Color Pitch,ขัดใจ,1760
2021-10-10 19:21,Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),790
2021-10-10 19:21,Dashboard Confessional,Belle Of The Boulevard,227680
2021-10-10 19:21,Lipta,หมอกร้าย feat. Fongbeer and Kob the X factor,1740
2021-10-10 19:24,Passion Pit,"It's Not My Fault, I'm Happy",1330
2021-10-10 19:24,Avril Lavigne,What the Hell,1470
2021-10-10 19:24,Wan Thanakrit,ระยะปลอดภัย,180530
2021-10-10 19:24,ayokay,The Shine (feat. Chelsea Cutler),930
2021-10-10 19:24,Ai Nam,รักคนมีเจ้าของ,1260
2021-10-10 19:24,Natasha Bedingfield,These Words,990
2021-10-10 19:24,Ella Vos,"Dreaming, backwards",1130
2021-10-10 19:24,Broke For Free,Golden Hour,1170
2021-10-10 19:29,Potato,รักเธอไปทุกวัน,257480
2021-10-10 20:05,H.E.R.,Hard Place,3690
2021-10-10 20:05,Polycat,พบกันใหม่,662
