endTime,artistName,trackName,msPlayed
2021-12-05 13:39,McKay,Thirsty,84974
2021-12-05 13:42,December,"The Only I can give you is Love [From ""Reply 1988 (Original Television Soundtrack), Pt. 5""]",211055
2021-12-05 13:46,Junggigo,IWST (feat. Hoody) (Prod. Primary),248758
2021-12-05 13:49,10cm,Where Is Dream,183320
2021-12-05 13:54,Ann Thitima,เสียงของหัวใจ,261360
2021-12-05 13:58,JoJo,Too Little Too Late - 2018,223533
2021-12-05 14:04,Jin Minho,Always You,99050
2021-12-05 14:07,So!YoON!,Wings,195573
2021-12-05 14:26,Chin Chinawut,คนธรรมดา - เพลงประกอบละคร สูตรเสน่หา,212293
2021-12-05 14:30,Martin Smith,I Wanna Know - Remastering,248300
2021-12-05 14:34,BAEKHYUN,The Day,230275
2021-12-05 14:38,Sunwoojunga,Sooni (I'm your fanatic girl),247496
2021-12-05 14:42,Chelsea Cutler,Under,205186
2021-12-05 14:46,Sunwoojunga,Idle Idle,218677
2021-12-05 14:49,Airman,Gloomy Star (feat. 1ho & Chan),187089
2021-12-05 14:52,Eldon,Monster,203906
2021-12-05 14:56,Jay Park,JOAH - Remastered,230087
2021-12-05 14:59,SOYOU,Some (feat. Lil Boi),211374
2021-12-05 15:03,NC.A,"Even if a memorable day comes [From “Reply 1988 (Original Television Soundtrack), Pt. 11”]",226385
2021-12-05 15:07,Kim Feel,One Day,242693
2021-12-05 15:11,Cha Eun Woo,Rainbow Falling,242278
2021-12-05 15:15,Three Man Down,ถ้าเธอรักฉันจริง,240250
2021-12-05 15:19,Stella Jang,Would You Love Me?,216103
2021-12-05 15:23,Wan Thanakrit,ยิ่งใกล้ยิ่งไม่รู้จัก,260000
2021-12-05 15:28,Kim Feel,"Someday, The Boy",287813
2021-12-05 15:31,Zion.T,Eat,161617
2021-12-05 15:35,Shin Seung Hun,MAYO,246937
2021-12-05 15:38,Junggigo,Only U,192403
2021-12-05 15:42,VERIVERY,With Us,257173
2021-12-05 15:46,One Week One Song,เพลงที่ 12 (คนรัก(ษา)) ft. Ritz,210000
2021-12-05 15:49,LANY,get away,185004
2021-12-05 15:52,Loote,Somebody Else,163263
2021-12-05 15:55,DINDIN,Tear drops,215203
2021-12-05 15:59,THAMA,Do It For Love (Feat. george),211200
2021-12-05 16:03,george,I'll change,252857
2021-12-05 16:07,keshi,2 soon,206511
2021-12-05 16:10,KIM JAE HWAN,What If,224293
2021-12-05 16:14,Baek A Yeon,I Need You,206493
2021-12-05 16:17,Honey-G,My Love,219467
2021-12-05 16:21,JoJo,Leave (Get Out) - 2018,239560
2021-12-05 16:25,DINDIN,do do do do (Whee In of MAMAMOO) (Prod.Giriboy),234284
2021-12-05 16:26,4EVE,วัดปะหล่ะ? (Test Me),23987
2021-12-05 16:29,Shin Seung Hun,Just Like First Sight,226866
2021-12-05 16:33,george,Something,229066
2021-12-05 16:37,Red Velvet,Future,215880
2021-12-05 16:40,Chelsea Cutler,Without You,168680
