endTime,artistName,trackName,msPlayed
2022-01-15 10:05,KAYDEN,Know Me,900
2022-01-15 10:05,Edwin McCain,I'll Be,1470
2022-01-15 10:05,Mild,ซาโยนาระ,163237
2022-01-15 10:05,Burin Boonvisut,ขอโทษ,3200
2022-01-15 10:05,ARTY,Supposed To Be,860
2022-01-15 10:05,Dean Lewis,Need You Now,1010
2022-01-15 10:05,Betty Who,I Love You Always Forever,1460
2022-01-15 10:09,Post Malone,Circles,1080
2022-01-15 10:09,Jesse McCartney,We Can Go Anywhere,1930
2022-01-15 10:09,Jeremy Zucker,wildfire,1050
2022-01-15 10:09,Third Eye Blind,Semi-Charmed Life,217200
2022-01-15 10:13,Oasis,Wonderwall - Remastered,258773
2022-01-15 10:14,Taylor Swift,Begin Again,10026
2022-01-15 17:48,Taylor Swift,Begin Again,710
2022-01-15 17:51,โซลเอ๊าท์,คนๆนี้จะไม่ไปจากเธอ,199906
2022-01-15 17:55,Chelsea Cutler,Lonely Alone,1100
2022-01-15 17:55,Phosphorescent,Song for Zula,2250
2022-01-15 17:55,LANY,I Don't Wanna Love You Anymore,201197
2022-01-15 17:55,Kris Allen,Better with You,2030
2022-01-15 17:55,Avril Lavigne,Complicated,1060
2022-01-15 17:55,The Goo Goo Dolls,Name,1110
2022-01-15 17:55,Avril Lavigne,The Best Damn Thing,1260
2022-01-15 17:55,Donna Lewis,I Love You Always Forever,1830
2022-01-15 17:55,Katy Perry,Teenage Dream,4505
2022-01-15 17:55,Wan Thanakrit,อยู่บำรุง,1390
2022-01-15 17:55,Bell Supol,ตามสบาย,1990
2022-01-15 17:55,MKTO,How Can I Forget,990
2022-01-15 17:55,Julia Michaels,Issues,1120
2022-01-15 17:55,Preme,Jackie Chan,920
2022-01-15 17:58,Zom Marie,หรือฉันคิดไปเอง,208240
2022-01-15 17:58,Valley,Oh shit…are we in love?,850
2022-01-15 17:58,Ivy Adara,Rebels,920
2022-01-15 17:58,M2M,Everything You Do,1310
2022-01-15 17:58,Mike WiLL Made-It,23,1040
2022-01-15 17:58,Jeremy Zucker,talk is overrated,770
2022-01-15 17:59,Cash Cash,Call You (feat. Nasri of MAGIC!),1110
2022-01-15 17:59,Lauv,There's No Way - Alle Farben Remix,590
2022-01-15 17:59,Lifehouse,You And Me,840
2022-01-15 17:59,Avril Lavigne,Things I'll Never Say,600
2022-01-15 17:59,Mêlée,Built to Last,880
2022-01-15 17:59,The Script,For the First Time,1310
2022-01-15 18:02,Mêlée,Built to Last,220110
2022-01-15 18:02,The Script,For the First Time,520
2022-01-15 18:02,Bell Supol,ทรมานตัวเอง,640
2022-01-15 18:03,Phum Viphurit,Lover Boy,930
2022-01-15 18:03,Boyd Kosiyabong,ฤดูที่แตกต่าง,1530
2022-01-15 18:03,Bird Thongchai,อยู่คนเดียว,1290
2022-01-15 18:03,Alicia Keys,Un-thinkable (I'm Ready),860
2022-01-15 18:03,Loote,85%,54710
2022-01-15 18:03,7thSCENE,คลั่ง,1110
2022-01-15 18:07,Bird Thongchai,อยู่คนเดียว,212830
2022-01-15 18:11,Phum Viphurit,Lover Boy,236727
2022-01-15 18:15,Zeal,พบเพื่อเพียงผ่าน,262573
2022-01-15 18:17,Polycat,เป็นเพราะฝน,85189
2022-01-15 18:17,Jimmy Eat World,All The Way (Stay),980
2022-01-15 18:17,Oasis,Stand by Me,1040
