endTime,artistName,trackName,msPlayed
2022-02-14 15:11,Endorphine,น้ำเต็มแก้ว,1030
2022-02-14 15:11,Nick Wilson,Say It Now,1780
2022-02-14 15:11,LEA,"Immer wenn wir uns sehn (""Das schönste Mädchen der Welt"", Soundtrack)",1350
2022-02-14 15:11,Colbie Caillat,The Little Things,1150
2022-02-14 15:11,Lorde,Hard Feelings/Loveless,5240
2022-02-14 15:11,MARINA,About Love - From The Netflix Film “To All The Boys: P.S. I Still Love You”,750
2022-02-14 15:11,Echosmith,Bright,1260
2022-02-14 15:11,Juju,Hi Babe,520
2022-02-14 15:11,Yuna,Stay Where You Are,1510
2022-02-14 15:11,Lifehouse,You And Me,780
2022-02-14 15:11,The Pussycat Dolls,Stickwitu,1200
2022-02-14 15:11,Louis The Child,Better Not (with Wafia),660
2022-02-14 15:11,Miley Cyrus,Party In The U.S.A.,680
2022-02-14 15:11,Silly Fools,ไหนว่าจะไม่หลอกกัน,770
2022-02-14 15:11,LANY,ex i never had,1270
2022-02-14 15:11,Britney Spears,Toxic,1870
2022-02-14 15:11,Golf & Mike,ยิ่งรักยิ่งเจ็บ,1270
2022-02-14 15:11,2morro,RUN (From ′뷰티인사이드′),1090
2022-02-14 15:11,Taylor Swift,Wildest Dreams,1220
2022-02-14 15:11,JR JR,Low,1230
2022-02-14 15:11,Keith Urban,Blue Ain't Your Color,820
2022-02-14 15:11,Passion Pit,Take a Walk,680
2022-02-14 15:11,The All-American Rejects,Stab My Back,980
2022-02-14 15:11,Oat Pramote,คิดถึงจัง (มาหาหน่อย),1440
2022-02-14 15:11,Passion Pit,Constant Conversations,1790
2022-02-14 15:11,Chelsea Cutler,Giving Up Ground,1430
2022-02-14 15:11,The Goo Goo Dolls,Iris,1150
2022-02-14 15:11,Christian French,Dying Alive,800
2022-02-14 15:11,The 1975,Robbers,570
2022-02-14 15:11,Afrojack,Bed Of Roses,690
2022-02-14 15:11,Bleachers,Don't Take The Money,1160
2022-02-14 15:11,Greyson Chance,shut up,730
2022-02-14 15:11,Nelly Furtado,Promiscuous,930
2022-02-14 15:16,Taylor Swift,Cornelia Street,287266
2022-02-14 15:17,Andy Grammer,Best of You (with Elle King),28533
2022-02-14 15:17,RHODES,Breathe,490
2022-02-14 15:17,Norah Jones,Turn Me On,680
2022-02-14 15:17,John Mayer,Half of My Heart,810
2022-02-14 15:17,Strive to Be,Good Day,14540
2022-02-14 15:21,Sixpence None The Richer,Kiss Me,49930
