endTime,artistName,trackName,msPlayed
2021-08-22 10:47,Andrey Azizov,TOO LOUD!,185942
2021-08-22 10:47,Switchfoot,lost ‘cause,23887
2021-08-22 10:48,Lorde,Mood Ring,3470
2021-08-22 10:48,Eric Nam,Miss You,1120
2021-08-22 10:48,Junggigo,LET ME LOVE YOU (DUET. 찬열 OF EXO),1690
2021-08-22 10:48,george,I'll change,4080
2021-08-22 10:51,BAEKHYUN,The Day,230275
2021-08-22 11:06,BAEKHYUN,Diamond,121624
2021-08-22 11:07,Youngjae,You & I,81100
2021-08-22 13:51,BAEKHYUN,Take You Home,32191
2021-08-22 13:55,WENDY,Don’t Push Me,198682
2021-08-22 13:58,Honey-G,My Love,219440
2021-08-22 17:16,BAEKHYUN,Take You Home,203025
2021-08-22 17:20,BAEKHYUN,Take You Home,234954
2021-08-22 17:23,WENDY,Don’t Push Me,198876
2021-08-22 19:39,Suzy,Ring My Bell,105016
2021-08-22 19:39,Honey-G,My Love,190939
2021-08-22 19:42,Kisum,Finding Differences,193320
2021-08-22 19:46,Suzy,Dream,222415
2021-08-23 07:07,Park Kyung,Ordinary Love,12699
2021-08-23 07:11,Junggigo,IWST (feat. Hoody) (Prod. Primary),248758
2021-08-23 07:14,Crush,Sweet Love (She is My Type♡ X Crush),4960
2021-08-23 07:14,Crush,Don’t Forget,185231
2021-08-23 10:26,BAEKHYUN,Take You Home,110
2021-08-23 10:26,BAEKHYUN,Take You Home,179380
2021-08-23 10:30,WENDY,Don’t Push Me,4350
2021-08-23 10:30,BAEKHYUN,Take You Home,222680
2021-08-23 10:30,Suzy,Ring My Bell,2030
2021-08-23 10:30,Honey-G,My Love,1000
2021-08-23 10:33,Kisum,Finding Differences,193320
2021-08-23 10:37,Suzy,Dream,222415
2021-08-23 10:40,Park Kyung,Ordinary Love,166944
2021-08-23 10:46,Jeff Bernat,Cruel,600
2021-08-23 10:46,Junggigo,IWST (feat. Hoody) (Prod. Primary),180050
2021-08-23 10:46,Johnny Stimson,Casual,960
2021-08-23 10:46,Crush,Sweet Love (She is My Type♡ X Crush),1120
2021-08-23 10:46,Crush,Don’t Forget,1160
2021-08-23 10:46,Johnny Stimson,Honeymoon,1160
2021-08-23 10:46,Crush,Let Me Go (with TAEYEON),1770
2021-08-23 10:46,Jeff Bernat,Changes,7250
2021-08-23 10:50,WENDY,Don’t Push Me,3205
2021-08-23 10:50,BAEKHYUN,Take You Home,234954
2021-08-23 10:52,Suzy,Ring My Bell,1690
2021-08-23 10:52,Honey-G,My Love,122020
2021-08-23 10:55,Kisum,Finding Differences,193320
2021-08-23 10:55,Junggigo,IWST (feat. Hoody) (Prod. Primary),600
2021-08-23 10:55,Suzy,Dream,0
2021-08-23 10:55,Crush,Don’t Forget,5410
