endTime,artistName,trackName,msPlayed
2022-03-31 02:28,Taylor Swift,I Wish You Would,1060
2022-03-31 02:28,Jimmy Eat World,Chase This Light,1050
2022-03-31 02:28,Taylor Swift,The Story Of Us,690
2022-03-31 02:28,Jesse McCartney,Just So You Know,1160
2022-03-31 02:28,Milky Chance,Stolen Dance,830
2022-03-31 02:28,Lisa Loeb,Fools Like Me,1020
2022-03-31 02:28,The Mynabirds,Disarm,1090
2022-03-31 02:28,Third Eye Blind,Semi-Charmed Life,1090
2022-03-31 02:28,One Direction,Live While We're Young,1060
2022-03-31 02:28,Valentina Ploy,See You In Life,580
2022-03-31 02:28,Khalid,OTW,940
2022-03-31 02:28,Justin Bieber,What Do You Mean?,980
2022-03-31 02:28,Switchfoot,Learning to Breathe,870
2022-03-31 02:28,Groove Riders,ถ้าปล่อยให้เธอเดินผ่าน - LA Mix,1480
2022-03-31 02:28,Of Monsters and Men,Mountain Sound,1050
2022-03-31 02:29,Vanessa Carlton,A Thousand Miles,3080
2022-03-31 02:29,Liam Payne,Strip That Down,1290
2022-03-31 02:29,Ella Vos,Temporary,930
2022-03-31 02:29,The Vamps,All Night,990
2022-03-31 02:29,The Vamps,All Night,570
2022-03-31 02:29,Kenny Chesney,Tip of My Tongue,1200
2022-03-31 02:29,ayokay,Better With You,2180
2022-03-31 02:29,ayokay,Better With You,840
2022-03-31 02:29,Lauv,Bracelet,1050
2022-03-31 02:29,Jessica Simpson,With You,1000
2022-03-31 02:29,KAYDEN,How Are You,1070
2022-03-31 02:29,Jesse McCartney,Best Day Of My Life,830
2022-03-31 02:29,Usher,Love in This Club (feat. Young Jeezy),930
2022-03-31 02:29,Chelsea Cutler,Calling All Angels (with Quinn XCII),960
2022-03-31 02:29,Marié Digby,Say It Again,980
2022-03-31 02:29,Yes'sir Days,แผลที่ไม่มีวันหาย,3140
2022-03-31 02:34,Bell Supol,หนึ่งความเหงาบนดาวเคราะห์,307506
2022-03-31 03:14,Dawin,Dessert,0
2022-03-31 03:14,Bowling Manida,คนลืมช้า,270560
2022-03-31 03:15,JETSET'ER,ไม่ใกล้ไม่ไกล - เพลงประกอบละคร มนต์จันทรา,1200
2022-03-31 03:15,Britney Spears,Womanizer,1090
2022-03-31 03:15,Blind Pilot,The Story I Heard,1920
2022-03-31 03:15,Avril Lavigne,Smile,11510
2022-03-31 03:15,Avril Lavigne,Smile,1030
2022-03-31 03:17,Silly Fools,คนที่ฆ่าฉัน,2030
2022-03-31 03:17,Dido,White Flag,32435
2022-03-31 03:17,Greasy Cafe',อุบัติเหตุ,930
2022-03-31 03:17,WizTheMc,WhoWho,131804
2022-03-31 03:17,Room 39,แค่ฉันมีเธอ,3960
2022-03-31 03:17,Ellis Delaney,Red Light,1410
2022-03-31 03:18,Justin Bieber,I'll Show You,1210
2022-03-31 03:18,Room 39,รักตัวเอง,5820
2022-03-31 03:18,Luke Combs,Hurricane,1200
2022-03-31 03:18,Benne,Nur ein Wort,910
2022-03-31 03:18,Ster,100 เหตุผล,3520
2022-03-31 03:18,S Club 7,Don't Stop Movin',1650
2022-03-31 03:21,Ashlee Simpson,Pieces Of Me,217440
2022-03-31 03:25,LOTTE,Pauken,193386
2022-03-31 03:28,Rendy Pandugo,Underwater,228600
2022-03-31 08:51,Gift Monotone,กวนใจฉันที,650
2022-03-31 08:51,พราว,เธอคือความฝัน,0
2022-03-31 08:51,Pang Nakarin,คนมีเสน่ห์,0
2022-03-31 08:51,Simple Plan,Crazy,928
2022-03-31 08:51,Flure,ปล่อยไปตามหัวใจ,0
2022-03-31 08:51,Cape Cub,Keep Me in Mind,232
2022-03-31 08:51,Quinn XCII,What The Hell Happened To Us,0
2022-03-31 08:51,Lorde,Million Dollar Bills,684
2022-03-31 08:51,Savage Garden,I Knew I Loved You,0
2022-03-31 08:51,Parachute,New Orleans,0
2022-03-31 08:51,Bell Supol,หนึ่งความเหงาบนดาวเคราะห์,162
2022-03-31 08:51,Clash,โรคประจำตัว,220
2022-03-31 08:51,Taylor Swift,Love Story,0
2022-03-31 08:51,Simple Plan,Your Love Is a Lie,499
2022-03-31 08:51,Bea Miller,like that,20259
2022-03-31 08:51,Bea Miller,like that,0
2022-03-31 08:51,ETC.,ฝัง (ใน) ใจ,0
2022-03-31 08:51,MEAN,ตัวแถม,1242
2022-03-31 08:51,Oat Pramote,คิดถึงจัง (มาหาหน่อย),893
2022-03-31 08:51,Kings of Leon,Use Somebody,0
2022-03-31 08:51,Saynahhoy,แอบเหงา,0
2022-03-31 08:55,Cape Cub,Keep Me in Mind,199221
2022-03-31 08:59,Atom Chanakan,แผลเป็น (SCAR),268040
2022-03-31 09:00,benny blanco,Eastside (with Halsey & Khalid),16141
2022-03-31 09:03,H.E.R.,Hard Place,233441
2022-03-31 09:07,Rayssa Dynta,Under Cover,36755
2022-03-31 09:07,Jimmy Eat World,Chase This Light,206960
2022-03-31 09:08,The Script,The Man Who Can't Be Moved,28003
2022-03-31 09:12,BOWKYLION,ลงใจ,216000
2022-03-31 09:12,Timbaland,If We Ever Meet Again,23118
2022-03-31 09:13,R3HAB,The Wave,64110
2022-03-31 09:13,The Script,Long Gone and Moved On,1288
2022-03-31 11:33,James Arthur,Can I Be Him,13023
2022-03-31 11:33,Malia Civetz,Champagne Clouds,1150
2022-03-31 11:33,Tritonal,Love U Right - Attom Remix,680
2022-03-31 11:33,Daniel Powter,Bad Day,950
2022-03-31 11:33,Flure,ปล่อยไปตามหัวใจ,154983
2022-03-31 11:33,Ann Thitima,รักก็คือรัก,720
2022-03-31 11:33,The All-American Rejects,It Ends Tonight,720
2022-03-31 11:33,Hum,เพราะมีเธอ,830
2022-03-31 11:33,The Goo Goo Dolls,Iris,1173
2022-03-31 11:33,Dean Lewis,Need You Now,550
2022-03-31 11:33,Taylor Swift,Enchanted,530
2022-03-31 11:33,Kilo Kish,Frustrations + Solutions,800
2022-03-31 11:33,Matt Nathanson,Used To Be,1110
2022-03-31 11:33,Praw Kanitkul,ได้โปรด - เพลงประกอบละคร หวานใจกับนายจอมหยิ่ง,1020
2022-03-31 11:37,Ann Thitima,รักก็คือรัก,242720
2022-03-31 11:37,The All-American Rejects,It Ends Tonight,1820
2022-03-31 11:39,Phum Viphurit,Long Gone,97150
2022-03-31 11:41,Jimmy Eat World,All The Way (Stay),3620
2022-03-31 11:41,Crescendo,ความจริงในใจ,830
2022-03-31 11:47,SCRUBB,ทุกอย่าง (Everything),256133
2022-03-31 11:51,Bodyslam,พูดในใจ,1000
2022-03-31 11:51,Ink Waruntorn,กลับก่อนนะ (GOODBYE),240500
2022-03-31 11:54,Sugar Eyes,สายตายาว,217586
2022-03-31 12:16,Sam Smith,I'm Not The Only One,810
2022-03-31 12:16,Blue Shade,อยากเจอ - Reason of Loneliness,1173
2022-03-31 12:16,Betty Who,Just Thought You Should Know,1738
2022-03-31 12:21,Blue Shade,อยากเจอ - Reason of Loneliness,300530
2022-03-31 12:22,Sam Smith,I'm Not The Only One,57529
2022-03-31 12:26,Dean Lewis,Chemicals,221706
2022-03-31 12:28,Lula,แค่เพียงได้รู้,88012
2022-03-31 12:30,Scavenger Hunt,Dreamers,160885
2022-03-31 12:34,Pup Potato,คำตอบของหัวใจ,249040
2022-03-31 12:36,Louis The Child,Better Not (with Wafia),86171
2022-03-31 12:40,Aof Pongsak,เธอคือดวงใจของฉัน (ดวงใจอัคนี),256333
2022-03-31 12:44,Whatcharawale,น้อย,235600
2022-03-31 12:48,Bell Supol,หยุดความคิดไม่ได้,244986
2022-03-31 12:52,The Pussycat Dolls,Stickwitu,207506
2022-03-31 12:54,URBOYTJ,ช่วยไม่ได้,1855
2022-03-31 12:54,Scouting For Girls,Famous,155013
2022-03-31 12:54,Kendrick Lamar,All The Stars (with SZA),12236
